,Tijd,Type,Klasse,Waarde,ID,Omschrijving,Status,Prioriteit,Comment,Tijd_Came,Tijd_Went,Tijd_ack,UUID,DPE,seconden
240585,2016-02-16 14:54:15.899,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455634455
240700,2016-02-16 14:52:55.651,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455634375
240721,2016-02-16 14:52:53.496,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455634373
240728,2016-02-16 14:52:53.367,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,50,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455634373
241266,2016-02-16 14:41:49.199,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455633709
241387,2016-02-16 14:40:35.457,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455633635
241401,2016-02-16 14:40:33.488,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455633633
241418,2016-02-16 14:40:33.376,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,50,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455633633
241527,2016-02-16 14:39:37.997,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455633577
241653,2016-02-16 14:38:16.325,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455633496
241675,2016-02-16 14:38:14.198,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455633494
241683,2016-02-16 14:38:14.083,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,50,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455633494
242184,2016-02-16 13:11:40.100,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455628300
242305,2016-02-16 13:10:26.446,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455628226
242328,2016-02-16 13:10:24.399,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455628224
242336,2016-02-16 13:10:24.305,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455628224
242445,2016-02-16 13:09:34.097,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455628174
242555,2016-02-16 13:08:13.476,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455628093
242565,2016-02-16 13:08:11.399,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455628091
242584,2016-02-16 13:08:11.195,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455628091
242808,2016-02-16 12:50:33.494,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455627033
242928,2016-02-16 12:49:19.505,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455626959
242951,2016-02-16 12:49:17.388,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455626957
242959,2016-02-16 12:49:17.235,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455626957
243071,2016-02-16 12:47:22.097,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455626842
243182,2016-02-16 12:46:01.473,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455626761
243204,2016-02-16 12:45:59.295,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455626759
243211,2016-02-16 12:45:59.139,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455626759
243531,2016-02-16 12:22:36.695,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455625356
243651,2016-02-16 12:21:22.402,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455625282
243674,2016-02-16 12:21:20.404,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455625280
243682,2016-02-16 12:21:20.300,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455625280
243786,2016-02-16 12:19:29.892,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455625169
243905,2016-02-16 12:18:08.335,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455625088
243927,2016-02-16 12:18:06.187,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455625086
243934,2016-02-16 12:18:06.035,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455625086
244349,2016-02-16 11:19:27.093,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455621567
244470,2016-02-16 11:18:12.722,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455621492
244493,2016-02-16 11:18:10.592,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455621490
244501,2016-02-16 11:18:10.453,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455621490
244605,2016-02-16 11:15:11.782,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455621311
244724,2016-02-16 11:13:50.680,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455621230
244732,2016-02-16 11:13:48.586,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455621228
244753,2016-02-16 11:13:48.404,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455621228
245125,2016-02-16 10:56:25.792,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455620185
245240,2016-02-16 10:55:10.792,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455620110
245261,2016-02-16 10:55:08.691,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455620108
245268,2016-02-16 10:55:08.590,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455620108
245328,2016-02-16 10:53:20.185,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455620000
245445,2016-02-16 10:51:58.133,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455619918
245466,2016-02-16 10:51:55.994,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455619915
245473,2016-02-16 10:51:55.883,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455619915
245833,2016-02-16 10:05:27.290,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455617127
245954,2016-02-16 10:04:11.689,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455617051
245968,2016-02-16 10:04:09.587,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455617049
245985,2016-02-16 10:04:09.449,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455617049
246097,2016-02-16 10:03:07.290,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455616987
246218,2016-02-16 10:01:43.434,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455616903
246225,2016-02-16 10:01:41.390,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455616901
246248,2016-02-16 10:01:41.226,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455616901
246814,2016-02-16 08:59:33.092,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455613173
246931,2016-02-16 08:58:16.448,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455613096
246940,2016-02-16 08:58:14.396,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455613094
246962,2016-02-16 08:58:14.225,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455613094
247070,2016-02-16 08:57:08.395,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455613028
247189,2016-02-16 08:55:42.889,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455612942
247199,2016-02-16 08:55:40.791,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455612940
247218,2016-02-16 08:55:40.563,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455612940
247644,2016-02-16 07:55:36.698,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455609336
247763,2016-02-16 07:54:19.328,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455609259
247784,2016-02-16 07:54:17.291,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455609257
247791,2016-02-16 07:54:17.225,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455609257
247861,2016-02-16 07:52:30.587,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455609150
247966,2016-02-16 07:51:04.649,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455609064
247987,2016-02-16 07:51:02.483,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455609062
247994,2016-02-16 07:51:02.396,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,78,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455609062
248366,2016-02-16 07:25:10.292,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455607510
248487,2016-02-16 07:23:44.636,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455607424
248508,2016-02-16 07:23:42.489,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455607422
248515,2016-02-16 07:23:42.330,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455607422
248586,2016-02-16 07:21:31.385,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455607291
248692,2016-02-16 07:19:59.299,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455607199
248711,2016-02-16 07:19:57.283,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455607197
248721,2016-02-16 07:19:57.150,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,80,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455607197
249254,2016-02-16 00:05:16.496,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455581116
249380,2016-02-16 00:03:57.290,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455581037
249385,2016-02-16 00:03:57.290,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455581037
249406,2016-02-16 00:03:57.092,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,42,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455581037
249666,2016-02-17 18:19:46.992,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455733186
249789,2016-02-17 18:18:25.992,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455733105
249794,2016-02-17 18:18:25.992,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455733105
249818,2016-02-17 18:18:25.827,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455733105
249931,2016-02-17 18:16:25.692,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455732985
250041,2016-02-17 18:15:02.509,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455732902
250064,2016-02-17 18:15:00.288,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455732900
250071,2016-02-17 18:15:00.175,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455732900
250420,2016-02-17 14:44:17.789,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455720257
250541,2016-02-17 14:43:02.624,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455720182
250551,2016-02-17 14:43:00.487,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455720180
250572,2016-02-17 14:43:00.335,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455720180
250685,2016-02-17 14:41:10.679,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455720070
250795,2016-02-17 14:39:47.300,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455719987
250815,2016-02-17 14:39:45.177,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455719985
250825,2016-02-17 14:39:45.039,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455719985
251518,2016-02-17 10:54:19.982,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455706459
251635,2016-02-17 10:53:03.783,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455706383
251645,2016-02-17 10:53:01.688,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455706381
251666,2016-02-17 10:53:01.464,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,12,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455706381
251770,2016-02-17 10:52:05.380,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455706325
251891,2016-02-17 10:50:42.691,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455706242
251913,2016-02-17 10:50:40.479,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455706240
251920,2016-02-17 10:50:40.341,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,12,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455706240
252249,2016-02-17 10:42:23.785,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455705743
252363,2016-02-17 10:41:06.280,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455705666
252382,2016-02-17 10:41:04.181,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455705664
252391,2016-02-17 10:41:04.028,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,18,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455705664
252457,2016-02-17 10:38:05.679,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455705485
252572,2016-02-17 10:36:36.933,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455705396
252580,2016-02-17 10:36:34.779,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455705394
252601,2016-02-17 10:36:34.593,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,18,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455705394
253268,2016-02-18 22:28:23.379,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455834503
253386,2016-02-18 22:26:58.968,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455834418
253404,2016-02-18 22:26:56.881,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455834416
253414,2016-02-18 22:26:56.750,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,84,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455834416
253484,2016-02-18 22:25:46.888,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455834346
253591,2016-02-18 22:24:21.706,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455834261
253613,2016-02-18 22:24:19.585,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455834259
253620,2016-02-18 22:24:19.402,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,84,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455834259
254272,2016-02-18 15:22:17.786,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455808937
254403,2016-02-18 15:20:56.287,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455808856
254408,2016-02-18 15:20:56.287,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455808856
254431,2016-02-18 15:20:56.101,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455808856
254549,2016-02-18 15:19:37.588,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455808777
254654,2016-02-18 15:18:14.938,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455808694
254677,2016-02-18 15:18:12.882,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455808692
254684,2016-02-18 15:18:12.798,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455808692
255262,2016-02-18 10:37:45.889,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455791865
255383,2016-02-18 10:36:30.087,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455791790
255395,2016-02-18 10:36:27.995,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455791787
255414,2016-02-18 10:36:27.852,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,69,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455791787
255642,2016-02-18 10:28:54.388,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455791334
255748,2016-02-18 10:27:31.270,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455791251
255758,2016-02-18 10:27:29.299,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455791249
255776,2016-02-18 10:27:29.140,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,69,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455791249
256176,2016-02-18 09:51:34.192,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455789094
256301,2016-02-18 09:50:09.924,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455789009
256324,2016-02-18 09:50:07.788,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455789007
256332,2016-02-18 09:50:07.614,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,69,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455789007
256454,2016-02-18 09:42:28.384,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455788548
256559,2016-02-18 09:41:02.026,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455788462
256579,2016-02-18 09:40:59.981,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455788459
256589,2016-02-18 09:40:59.873,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,69,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455788459
257153,2016-02-18 06:27:34.591,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455776854
257274,2016-02-18 06:26:09.836,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455776769
257286,2016-02-18 06:26:07.888,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455776767
257302,2016-02-18 06:26:07.711,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,50,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455776767
257372,2016-02-18 06:23:41.482,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455776621
257479,2016-02-18 06:22:14.453,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455776534
257498,2016-02-18 06:22:12.280,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455776532
257508,2016-02-18 06:22:12.189,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,50,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455776532
258075,2016-02-19 16:52:20.494,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455900740
258194,2016-02-19 16:51:06.319,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455900666
258217,2016-02-19 16:51:04.292,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455900664
258225,2016-02-19 16:51:04.179,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455900664
258337,2016-02-19 16:49:41.388,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455900581
258450,2016-02-19 16:48:18.699,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455900498
258455,2016-02-19 16:48:18.699,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455900498
258478,2016-02-19 16:48:18.453,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,82,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1455900498
258889,2016-02-19 14:46:58.278,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455893218
259013,2016-02-19 14:45:43.084,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455893143
259018,2016-02-19 14:45:43.084,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455893143
259036,2016-02-19 14:45:42.871,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,24,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1455893142
259106,2016-02-19 14:43:57.089,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1455893037
