,duur,beweging,time
595,82,True,2016-02-22 13:08:40.382
596,84,False,2016-02-22 13:05:11.076
597,85,True,2016-02-22 09:27:40.497
598,84,False,2016-02-22 09:25:33.997
599,79,True,2016-02-23 17:27:48.477
600,84,False,2016-02-23 17:25:18.276
601,75,True,2016-02-23 14:37:42.087
602,82,False,2016-02-23 14:35:08.193
603,76,True,2016-02-23 13:59:21.994
604,83,False,2016-02-23 13:55:47.495
605,77,True,2016-02-23 13:25:53.394
606,84,False,2016-02-23 13:22:31.283
607,80,True,2016-02-23 12:18:49.680
608,85,False,2016-02-23 12:16:10.283
609,77,True,2016-02-23 07:38:28.684
610,86,False,2016-02-23 07:34:49.184
611,75,True,2016-02-24 19:48:40.105
612,82,False,2016-02-24 19:45:28.092
613,82,True,2016-02-24 19:32:42.700
614,85,False,2016-02-24 19:28:55.096
615,76,True,2016-02-24 16:20:50.589
616,83,False,2016-02-24 16:16:11.385
617,74,True,2016-02-24 14:48:53.188
618,81,False,2016-02-24 14:46:22.079
619,75,True,2016-02-24 14:40:37.178
620,83,False,2016-02-24 14:36:38.788
621,76,True,2016-02-24 14:06:39.986
622,83,False,2016-02-24 14:04:00.391
623,76,True,2016-02-24 12:58:32.594
624,83,False,2016-02-24 12:56:14.594
625,81,True,2016-02-24 12:39:38.182
626,84,False,2016-02-24 12:37:07.703
627,86,True,2016-02-24 06:52:51.376
628,89,False,2016-02-24 06:49:56.474
629,83,True,2016-02-25 23:03:54.499
630,89,False,2016-02-25 23:00:50.883
631,76,True,2016-02-25 18:26:52.183
632,83,False,2016-02-25 18:25:18.787
633,86,True,2016-02-25 18:22:42.686
634,77,False,2016-02-25 17:04:42.677
635,77,True,2016-02-25 11:22:59.885
636,85,False,2016-02-25 11:19:12.680
637,77,True,2016-02-25 10:12:51.681
638,84,False,2016-02-25 10:10:53.986
639,81,True,2016-02-25 10:04:44.594
640,76,False,2016-02-25 10:02:38.492
641,21,False,2016-02-25 10:02:09.798
642,19,False,2016-02-25 10:01:11.894
643,77,True,2016-02-25 06:47:00.394
644,83,False,2016-02-25 06:43:17.098
645,90,True,2016-02-25 06:40:30.998
646,91,False,2016-02-25 06:36:49.592
647,76,True,2016-02-26 15:22:51.587
648,82,False,2016-02-26 15:12:12.281
649,76,True,2016-02-26 15:03:31.893
650,84,False,2016-02-26 15:01:01.890
651,77,True,2016-02-26 13:53:50.079
652,83,False,2016-02-26 13:50:16.185
653,84,True,2016-02-26 12:51:40.878
654,85,False,2016-02-26 12:49:07.180
655,85,True,2016-02-26 07:32:50.090
656,90,False,2016-02-26 07:30:10.985
657,79,True,2016-02-29 17:06:28.597
658,83,False,2016-02-29 17:02:39.386
659,75,True,2016-02-29 12:54:39.195
660,83,False,2016-02-29 12:48:30.594
661,76,True,2016-02-29 12:34:58.199
662,83,False,2016-02-29 12:32:10.090
663,76,True,2016-02-29 11:49:05.595
664,84,False,2016-02-29 11:42:30.794
665,81,True,2016-02-29 10:42:56.893
666,86,False,2016-02-29 10:41:06.488
667,87,True,2016-02-29 08:29:41.578
668,92,False,2016-02-29 08:23:23.983
669,78,True,2016-03-01 17:16:55.579
670,87,False,2016-03-01 17:13:37.688
671,76,True,2016-03-01 14:45:46.805
672,82,False,2016-03-01 14:42:49.191
673,76,True,2016-03-01 14:38:16.097
674,82,False,2016-03-01 14:35:11.093
675,77,True,2016-03-01 14:25:19.689
676,84,False,2016-03-01 14:22:50.195
677,78,True,2016-03-01 13:49:17.591
678,86,False,2016-03-01 13:46:38.993
679,82,True,2016-03-01 12:05:09.087
680,87,False,2016-03-01 12:01:17.783
681,83,True,2016-03-01 08:53:10.080
682,90,False,2016-03-01 08:49:24.999
683,85,True,2016-03-01 07:03:10.681
684,94,False,2016-03-01 06:59:33.086
685,84,True,2016-03-02 19:23:33.096
686,86,False,2016-03-02 19:19:34.579
687,77,True,2016-03-02 14:44:02.980
688,85,False,2016-03-02 14:41:25.678
689,82,True,2016-03-02 13:30:58.882
690,85,False,2016-03-02 13:28:49.475
691,83,True,2016-03-02 10:45:22.897
692,86,False,2016-03-02 10:43:08.693
693,82,True,2016-03-02 08:09:46.587
694,85,False,2016-03-02 08:06:57.389
695,80,True,2016-03-03 19:56:22.195
696,84,False,2016-03-03 19:53:40.387
697,79,True,2016-03-03 18:18:09.582
698,83,False,2016-03-03 18:14:17.379
699,77,True,2016-03-03 16:25:05.788
700,83,False,2016-03-03 16:23:07.587
701,80,True,2016-03-03 14:56:34.983
702,84,False,2016-03-03 14:52:56.083
703,76,True,2016-03-03 12:18:38.498
704,84,False,2016-03-03 12:11:44.793
705,77,True,2016-03-03 10:49:34.691
706,85,False,2016-03-03 10:46:17.893
707,77,True,2016-03-03 09:07:09.593
708,85,False,2016-03-03 09:03:57.789
709,77,True,2016-03-03 07:39:35.592
710,83,False,2016-03-03 07:35:00.383
711,83,True,2016-03-03 07:27:21.280
712,88,False,2016-03-03 07:22:39.490
713,83,True,2016-03-04 13:12:35.579
714,88,False,2016-03-04 13:09:21.488
715,82,True,2016-03-04 07:57:25.795
716,85,False,2016-03-04 07:54:33.692
717,91,True,2016-03-04 07:16:57.693
718,88,False,2016-03-04 07:11:48.793
719,81,True,2016-03-07 20:12:46.775
720,85,False,2016-03-07 20:09:03.783
721,79,True,2016-03-07 18:29:55.296
722,84,False,2016-03-07 18:25:49.496
723,82,True,2016-03-07 17:14:20.682
724,84,False,2016-03-07 17:11:54.381
725,83,True,2016-03-07 12:57:58.080
726,85,False,2016-03-07 12:49:38.081
727,82,True,2016-03-07 09:58:20.179
728,86,False,2016-03-07 09:55:30.079
729,88,True,2016-03-07 08:06:26.181
730,88,False,2016-03-07 08:01:57.579
731,82,True,2016-03-08 20:15:46.393
732,85,False,2016-03-08 20:12:19.399
733,75,True,2016-03-08 16:49:54.795
734,83,False,2016-03-08 16:45:56.985
735,79,True,2016-03-08 16:10:27.389
736,84,False,2016-03-08 16:06:34.595
737,75,True,2016-03-08 14:09:41.274
738,82,False,2016-03-08 14:06:16.487
739,75,True,2016-03-08 13:31:50.098
740,83,False,2016-03-08 13:28:39.692
741,75,True,2016-03-08 12:58:00.792
742,83,False,2016-03-08 12:56:14.694
743,75,True,2016-03-08 12:33:13.193
744,82,False,2016-03-08 12:31:04.688
745,76,True,2016-03-08 12:20:55.676
746,83,False,2016-03-08 12:17:29.281
747,78,True,2016-03-08 11:50:06.401
748,85,False,2016-03-08 11:47:08.182
749,77,True,2016-03-09 15:55:28.494
750,84,False,2016-03-09 15:53:05.980
751,79,True,2016-03-09 12:59:27.789
752,82,False,2016-03-09 12:56:05.297
753,78,True,2016-03-09 12:29:10.593
754,83,False,2016-03-09 12:26:51.793
755,80,True,2016-03-09 11:22:21.787
756,85,False,2016-03-09 11:19:46.785
757,77,True,2016-03-10 21:15:04.493
758,83,False,2016-03-10 21:11:27.192
759,78,True,2016-03-10 20:12:28.288
760,83,False,2016-03-10 20:09:34.380
761,81,True,2016-03-10 19:11:31.983
762,84,False,2016-03-10 19:08:01.887
763,78,True,2016-03-10 16:58:30.479
764,82,False,2016-03-10 16:56:25.194
765,75,True,2016-03-10 12:38:03.085
766,83,False,2016-03-10 12:35:09.989
767,77,True,2016-03-10 11:53:44.586
768,84,False,2016-03-10 11:48:49.980
769,80,True,2016-03-10 10:53:51.982
770,86,False,2016-03-10 10:51:23.783
771,75,True,2016-03-11 16:07:14.497
772,82,False,2016-03-11 16:04:15.084
773,76,True,2016-03-11 15:30:52.285
774,84,False,2016-03-11 15:26:20.983
775,76,True,2016-03-11 12:42:13.385
776,83,False,2016-03-11 12:36:51.682
777,79,True,2016-03-11 12:27:58.082
778,84,False,2016-03-11 12:24:14.679
779,78,True,2016-03-12 08:27:17.977
780,84,False,2016-03-12 08:23:09.494
781,84,True,2016-03-12 08:18:42.892
782,90,False,2016-03-12 08:15:36.891
783,83,True,2016-03-12 05:52:29.897
784,92,False,2016-03-12 05:48:21.687
785,75,True,2016-03-14 17:38:34.775
786,83,False,2016-03-14 17:36:20.178
787,75,True,2016-03-14 15:21:54.090
788,83,False,2016-03-14 15:19:04.289
789,75,True,2016-03-14 14:57:39.290
790,83,False,2016-03-14 14:54:47.295
791,76,True,2016-03-14 13:56:36.396
792,84,False,2016-03-14 13:53:19.289
793,77,True,2016-03-14 13:05:44.890
794,83,False,2016-03-14 13:02:56.287
795,82,True,2016-03-14 12:32:51.398
796,86,False,2016-03-14 12:29:08.592
797,83,True,2016-03-15 20:34:15.884
798,85,False,2016-03-15 20:30:49.381
799,81,True,2016-03-15 16:26:32.473
800,85,False,2016-03-15 16:22:00.394
801,78,True,2016-03-15 11:25:32.583
802,86,False,2016-03-15 11:22:02.275
803,75,True,2016-03-16 16:41:18.688
804,84,False,2016-03-16 16:38:19.200
805,75,True,2016-03-16 15:00:17.374
806,83,False,2016-03-16 14:56:55.682
807,80,True,2016-03-16 14:39:47.287
808,85,False,2016-03-16 14:36:43.990
809,76,True,2016-03-16 10:55:34.584
810,84,False,2016-03-16 10:52:34.599
811,77,True,2016-03-16 10:07:50.079
812,86,False,2016-03-16 10:04:49.682
813,78,True,2016-03-16 07:51:20.076
814,86,False,2016-03-16 07:48:36.078
815,83,True,2016-03-16 06:41:34.882
